timestamp; size;
62.0413279533386; 5191; MsgEvent
95.9308979511261; 2457; MsgEvent
115.413944959641; 2781; MsgEvent
133.368699073792; 2431311; MsgEvent
284.74619603157; 218488; MsgEvent
782.152646064758; 40400; MsgEvent
812.062865018845; 50581; MsgEvent
1238.58335804939; 2469803; MsgEvent
1518.18406009674; 3027465; MsgEvent
1528.18273210526; 1654; MsgEvent
2014.89326405525; 74290; MsgEvent
2134.60340189934; 1557; MsgEvent
2377.88736701012; 4151; MsgEvent
2379.53029203415; 1217077; MsgEvent
2389.45101690292; 1783; MsgEvent
2448.64608693123; 7408354; MsgEvent
2458.64164710045; 1815; MsgEvent
2564.4104309082; 2987; MsgEvent
2659.28453207016; 64061; MsgEvent
2812.99867296219; 724573; MsgEvent
2822.87662100792; 1687; MsgEvent
3001.12151503563; 83916; MsgEvent
3031.16855597496; 54286; MsgEvent
3502.8808529377; 393075; MsgEvent
3504.20877599716; 1812062; MsgEvent
3514.20633506775; 2089; MsgEvent
3530.34939908981; 2150528; MsgEvent
3540.37061405182; 2345; MsgEvent
3938.64143896103; 2490; MsgEvent
4346.85764098167; 88472; MsgEvent
4489.20307898521; 248959; MsgEvent
4523.10075712204; 3665609; MsgEvent
4533.10915899277; 2585; MsgEvent
4704.48413610458; 66261; MsgEvent
5047.96181201935; 1067718; MsgEvent
5057.83084011078; 2441; MsgEvent
5140.49630498886; 196765; MsgEvent
5767.07544493675; 227381; MsgEvent
6164.57739090919; 3068; MsgEvent
6165.41394591331; 120497; MsgEvent
6321.26089906693; 51389; MsgEvent
6384.77156591415; 205417; MsgEvent
6394.66864204407; 1573; MsgEvent
6944.82590889931; 1608; MsgEvent
7037.06560301781; 1554847; MsgEvent
7047.05808091164; 2409; MsgEvent
7166.17307090759; 3649403; MsgEvent
7176.17040395737; 2666; MsgEvent
7225.65353298187; 550648; MsgEvent
7248.19126105309; 685919; MsgEvent
7475.04475498199; 1828372; MsgEvent
7485.03883290291; 2186; MsgEvent
7514.56618404388; 9988398; MsgEvent
7524.56777310371; 1832; MsgEvent
7533.89067006111; 286782; MsgEvent
7719.62837100029; 57764; MsgEvent
8125.78429508209; 4212742; MsgEvent
8135.80310702324; 2024; MsgEvent
8340.83913493156; 252506; MsgEvent
8370.49981689453; 118381; MsgEvent
8777.16293907166; 1285353; MsgEvent
8787.16157603264; 2201; MsgEvent
9525.51859593391; 2859263; MsgEvent
9526.3279941082; 408561; MsgEvent
9527.17316293716; 367405; MsgEvent
9585.34647297859; 170126; MsgEvent
9764.45483899117; 2850; MsgEvent
9952.12517905235; 266057; MsgEvent
9982.52341103554; 232112; MsgEvent
10015.9204280376; 3968697; MsgEvent
10025.9249811172; 2104; MsgEvent
10194.9438650608; 72232; MsgEvent
10364.2912580967; 120785; MsgEvent
11008.1569499969; 249777; MsgEvent
12966.8369939327; 97183; MsgEvent
12999.6761920452; 2413054; MsgEvent
13009.673208952; 2105; MsgEvent
13215.4892880917; 13948; MsgEvent
13362.8263890743; 2287; MsgEvent
13365.8299701214; 120914; MsgEvent
13648.8999779224; 2862699; MsgEvent
13658.9025149345; 2682; MsgEvent
14020.4329490662; 31982; MsgEvent
14309.0827140808; 196597; MsgEvent
