timestamp; size;
90.0852038860321; 2281; MsgEvent
109.630040884018; 3486; MsgEvent
127.64892411232; 2440992; MsgEvent
137.638185024261; 2506; MsgEvent
1232.60380291939; 2482883; MsgEvent
1242.60662698746; 2425; MsgEvent
1512.26803088188; 3031003; MsgEvent
1522.27964711189; 2169; MsgEvent
2371.94172406197; 1918; MsgEvent
2374.04438710213; 1199505; MsgEvent
2383.99588489532; 2025; MsgEvent
2443.15014696121; 7425333; MsgEvent
2453.1645629406; 2312; MsgEvent
2613.43869400024; 2207; MsgEvent
2636.67307901382; 2105; MsgEvent
2653.40284800529; 1511; MsgEvent
2807.40994501114; 669229; MsgEvent
2817.27587103844; 1991; MsgEvent
3496.55546498299; 2493; MsgEvent
3498.63331794739; 1819550; MsgEvent
3508.64962506294; 2425; MsgEvent
3524.50932598114; 2150576; MsgEvent
3534.52577209473; 2442; MsgEvent
3932.88647007942; 2443; MsgEvent
4517.3138821125; 3677531; MsgEvent
4527.319658041; 2056; MsgEvent
5042.37519001961; 1067450; MsgEvent
5052.23768496513; 2169; MsgEvent
6213.42330503464; 2014; MsgEvent
6216.61520695686; 120818; MsgEvent
7031.64766192436; 1552005; MsgEvent
7041.6446928978; 1817; MsgEvent
7160.30628490448; 3520688; MsgEvent
7170.2983019352; 1736; MsgEvent
7214.66369891167; 549343; MsgEvent
7237.26910591125; 686637; MsgEvent
7259.67768788338; 137590; MsgEvent
7469.46874189377; 1829410; MsgEvent
7479.47180604935; 2234; MsgEvent
7508.26618599892; 9990351; MsgEvent
7518.26535701752; 1928; MsgEvent
8120.86063098907; 4219955; MsgEvent
8130.85806894302; 2569; MsgEvent
8364.49411392212; 1559; MsgEvent
8771.58185911179; 1285682; MsgEvent
8781.57972502708; 2025; MsgEvent
9519.45437693596; 8635; MsgEvent
9813.41799902916; 1943; MsgEvent
9976.67209792137; 1672; MsgEvent
10010.3430089951; 3980879; MsgEvent
10020.3449480534; 2072; MsgEvent
12993.872068882; 2416990; MsgEvent
13003.8623828888; 2105; MsgEvent
13209.5926930904; 1526; MsgEvent
13413.502959013; 2007; MsgEvent
13416.8247029781; 120994; MsgEvent
13643.6920189857; 2862712; MsgEvent
13653.7051250935; 2185; MsgEvent
14014.9890699387; 32222; MsgEvent
14302.354943037; 3231; MsgEvent
