timestamp; size;
50.2984371185303; 1542; MsgEvent
89.8343269824982; 2425; MsgEvent
109.325450897217; 3534; MsgEvent
127.230532884598; 2443982; MsgEvent
137.237703084946; 2314; MsgEvent
1232.57112789154; 2481571; MsgEvent
1242.57027888298; 2362; MsgEvent
1512.16258001328; 3034984; MsgEvent
1522.15363192558; 2345; MsgEvent
2373.85831093788; 1202480; MsgEvent
2383.85420107841; 2409; MsgEvent
2442.59977293015; 7418152; MsgEvent
2452.59401202202; 2184; MsgEvent
2653.14079403877; 1511; MsgEvent
2670.42092609406; 2087; MsgEvent
2807.09646010399; 670009; MsgEvent
2816.93452906609; 2023; MsgEvent
3024.95030903816; 1576; MsgEvent
3496.97909092903; 2108; MsgEvent
3498.06065011024; 1817439; MsgEvent
3508.0568780899; 2777; MsgEvent
3524.3295519352; 2151758; MsgEvent
3534.32326102257; 2185; MsgEvent
3932.66937589645; 2595; MsgEvent
4517.17610001564; 3685269; MsgEvent
4527.18424510956; 2472; MsgEvent
5042.41880202293; 1068471; MsgEvent
5052.29507088661; 2441; MsgEvent
6270.41496491432; 2247; MsgEvent
6274.22412395477; 120994; MsgEvent
7031.02618908882; 1554027; MsgEvent
7041.02016592026; 2617; MsgEvent
7160.2640941143; 3657580; MsgEvent
7170.27131104469; 1960; MsgEvent
7219.78874897957; 1233161; MsgEvent
7229.78311800957; 2200; MsgEvent
7469.1736741066; 1829449; MsgEvent
7479.19019198418; 2378; MsgEvent
7507.80596089363; 9955095; MsgEvent
7517.80635404587; 1832; MsgEvent
8120.81221103668; 4229064; MsgEvent
8130.81294989586; 2248; MsgEvent
8771.77650308609; 1287914; MsgEvent
8781.80346393585; 1817; MsgEvent
9204.12265300751; 1511; MsgEvent
9517.90575003624; 3474; MsgEvent
9519.66700100899; 5582; MsgEvent
9870.41248488426; 2031; MsgEvent
9946.05333590508; 2330; MsgEvent
10010.4353690147; 3967739; MsgEvent
10020.4368069172; 2137; MsgEvent
12366.2662060261; 1525; MsgEvent
12994.631248951; 2418524; MsgEvent
13004.1007390022; 1961; MsgEvent
13209.4781970978; 1880; MsgEvent
13470.4426751137; 2135; MsgEvent
13474.6213579178; 121243; MsgEvent
13643.4611310959; 2863146; MsgEvent
13653.4755570889; 1849; MsgEvent
14014.7371070385; 31782; MsgEvent
14302.3474590778; 3023; MsgEvent
