SizesDiff (bytes); TimeDiff (seconds);
0; 3,494999885559082;
-26; 3,2839999198913574;
-29; 2,9750001430511475;
12; 3,0820000171661377;
-3; 3,2789998054504395;
3; 3,185999870300293;
-9; 3,075000047683716;
-56; 4,04800009727478;
0; 5,578999996185303;
0; 3,371999740600586;
-116; 3,765000104904175;
22; 3,0739998817443848;
0; 3,5390000343322754;
0; 3,428999900817871;
-38; 3,1089999675750732;
-2; 3,441999912261963;
0; 3,5959999561309814;
0; 3,0190000534057617;
0; 3,57099986076355;
0; 3,379999876022339;
-10616; 50,07499980926514;
-2340; 49,86399984359741;
-15124; 50,76099991798401;
-11167; 50,56500005722046;
3354; 50,610000133514404;
-8110; 50,66199994087219;
10335; 50,61999988555908;
-13349; 50,960999965667725;
-95780; 50,98300004005432;
0; 3,322999954223633;
0; 3,9260001182556152;
0; 3,5350000858306885;
-11; 3,005000114440918;
-7; 3,180999994277954;
-30; 3,5759999752044678;
0; 3,2849998474121094;
-8; 3,377000093460083;
0; 3,4019999504089355;
