SizesDiff (bytes); TimeDiff (seconds);
0; -2,984999895095825;
0; -2,9210000038146973;
0; -2,9509999752044678;
0; -3,0339999198913574;
0; -2,9629998207092285;
0; -2,9630000591278076;
0; -3,049999713897705;
0; -2,9689998626708984;
0; -2,938999891281128;
0; -2,9509997367858887;
0; -2,9709999561309814;
0; -2,928999900817871;
0; -2,9600000381469727;
0; -2,938999891281128;
0; -3,3509998321533203;
0; -3,681999921798706;
0; -2,9079997539520264;
0; -3,0199997425079346;
0; -3,0179998874664307;
0; -2,9579997062683105;
0; -2,934999942779541;
0; -3,062999963760376;
0; -3,0139999389648438;
0; -2,9449996948242188;
0; -2,9689998626708984;
0; -2,9169998168945312;
0; -2,92199969291687;
0; -2,9079997539520264;
0; -2,930999755859375;
0; -3,0239996910095215;
0; -2,9699997901916504;
0; -2,982999801635742;
0; -2,9669997692108154;
0; -3,1369998455047607;
0; -3,1579997539520264;
0; -2,938999891281128;
0; -2,9529998302459717;
0; -2,9609999656677246;
0; -2,9779999256134033;
0; -2,994999647140503;
0; -2,9669997692108154;
0; -2,9769997596740723;
0; -2,9749999046325684;
0; -3,044999837875366;
0; -2,941999912261963;
0; -2,9769997596740723;
0; -3,0850000381469727;
0; -3,0219998359680176;
0; -3,051999807357788;
0; -3,0239999294281006;
0; -2,989999771118164;
0; -2,9569997787475586;
0; -2,9539999961853027;
0; -2,9609999656677246;
0; -3,0289998054504395;
