SizesDiff (bytes); TimeDiff (seconds);
0; -4,061999797821045;
26; -3,68399977684021;
29; -3,4519999027252197;
-12; -3,9099998474121094;
3; -3,9679996967315674;
-3; -3,6509997844696045;
9; -3,3949999809265137;
56; -4,36899995803833;
0; -4,417999982833862;
0; -3,5739996433258057;
116; -3,759000062942505;
-22; -3,3459999561309814;
0; -3,674999952316284;
0; -4,5239996910095215;
38; -3,5379998683929443;
2; -3,9039998054504395;
0; -3,675999879837036;
0; -3,236999988555908;
0; -3,9799997806549072;
0; -3,5069997310638428;
15124; -5,858999729156494;
-13217; -7,1539998054504395;
23355; -4,302000045776367;
-5072; -4,538999795913696;
11167; -6,111000061035156;
-3354; -5,806999921798706;
16231; -7,078999757766724;
59454; -7,355999708175659;
39109; -6,1499998569488525;
0; -3,6599998474121094;
0; -4,319999933242798;
0; -3,61899995803833;
11; -3,322000026702881;
7; -3,3919997215270996;
30; -4,478999853134155;
0; -3,443999767303467;
8; -3,375999927520752;
0; -3,444999933242798;
