timestamp; size;
132.088402986526; 2329111; video
283.69140291214; 205978; photo
781.175403118134; 35968; photo
811.009402990341; 45641; photo
1201.59340310097; 27656397; video
1237.08640289307; 2357782; video
1516.70340299606; 2898569; video
1769.02340292931; 10887013; video
2378.48840308189; 1128943; video
2446.71440291405; 7115845; video
2658.24940299988; 58688; photo
2811.47640299797; 52045; photo
2811.93240308762; 616426; video
3000.05940294266; 77969; photo
3030.11140298843; 48992; photo
3501.65640306473; 190940; photo
3502.00140309334; 182844; photo
3503.02440309525; 1727097; video
3529.19240307808; 2046128; video
4345.92240309715; 82442; photo
4488.22340297699; 236248; photo
4521.71740293503; 3518060; video
4703.50740289688; 61127; photo
5046.92540311813; 999888; video
5139.50940299034; 185263; photo
5766.15640306473; 214875; photo
5780.48440289497; 16034891; video
6320.36440300941; 46073; photo
6383.81940293312; 194292; photo
6394.3264029026; 11387509; video
7036.01240301132; 1473625; video
7164.92040300369; 4674621; video
7473.97640299797; 1745108; video
7511.78940296173; 9574733; video
7532.90640306473; 228773; photo
7718.6364030838; 52856; photo
8124.44440293312; 4043809; video
8339.95040297508; 239557; photo
8369.42240309715; 111374; photo
8776.15940308571; 1214819; video
9522.50740289688; 425980; photo
9522.91140294075; 390324; photo
9523.47740292549; 430761; photo
9523.66940307617; 314434; photo
9524.23040294647; 419733; photo
9524.36940312386; 370475; photo
9524.5764029026; 377142; photo
9525.4434030056; 393167; photo
9526.33240294456; 353555; photo
9584.42540311813; 159031; photo
9951.29340291023; 253767; photo
9981.58740305901; 219452; photo
10014.3864030838; 3790628; video
10194.0264029503; 66726; photo
10363.3784029484; 113775; photo
11007.3204030991; 236572; photo
12966.0324029922; 71753; photo
12998.6214029789; 2314279; video
13647.839402914; 2737946; video
14019.6334030628; 13934; video
14308.209403038; 47457; photo
14308.3034029007; 136313; photo
