timestamp; size;
126.329999923706; 2329111; video
277.680000066757; 205978; photo
775.519999980927; 35968; photo
805.400000095367; 45641; photo
1194.60700011253; 27656397; video
1231.41199994087; 2357782; video
1511.07100009918; 2898569; video
1763.20199990273; 10887013; video
2373.10700011253; 1128943; video
2441.1400001049; 7115845; video
2682.91199994087; 58688; photo
2805.58699989319; 52045; photo
2806.47099995613; 616426; video
2994.41700005531; 77969; photo
3024.43899989128; 48992; photo
3495.47199988365; 190940; photo
3495.89499998093; 182844; photo
3497.53800010681; 1727097; video
3523.40499997139; 2046128; video
4340.19000005722; 82442; photo
4481.86299991608; 236248; photo
4515.86299991608; 3518060; video
4697.88800001144; 61127; photo
5041.47600007057; 999888; video
5133.77800011635; 185263; photo
5760.65700006485; 214875; photo
5775.0720000267; 16034891; video
6314.75500011444; 46073; photo
6378.03200006485; 194292; photo
6388.34400010109; 11387509; video
7030.67899990082; 1473625; video
7159.10100007057; 4674621; video
7468.48000001907; 1745108; video
7505.88499999046; 9574733; video
7527.1930000782; 228773; photo
7712.96900010109; 52856; photo
8119.35299992561; 4043809; video
8333.88599991798; 239557; photo
8363.80800008774; 111374; photo
8770.6930000782; 1214819; video
9516.77900004387; 425980; photo
9517.44600009918; 390324; photo
9518.13000011444; 430761; photo
9518.36100006104; 314434; photo
9518.45199990273; 370475; photo
9518.58100008965; 353555; photo
9518.6779999733; 393167; photo
9518.82100009918; 419733; photo
9518.84999990463; 377142; photo
9578.75900006294; 159031; photo
9945.52900004387; 253767; photo
9976.08599996567; 219452; photo
10008.9400000572; 3790628; video
10188.3220000267; 66726; photo
10357.6199998856; 113775; photo
11001.7769999504; 236572; photo
12960.3659999371; 71753; photo
12992.9030001163; 2314279; video
13642.6889998913; 2737946; video
14014.0529999733; 13934; video
14301.7409999371; 47457; photo
14301.8210000992; 136313; photo
