timestamp; size; id; type
1564728300,507983; 60;0 ;NetPacket
1564728300,592374; 40;0 ;NetPacket
1564728300,598676; 204;0 ;NetPacket
1564728300,683617; 40;0 ;NetPacket
1564728300,684587; 204;0 ;NetPacket
1564728300,684771; 140;0 ;NetPacket
1564728300,780923; 40;0 ;NetPacket
1564728300,782538; 124;0 ;NetPacket
1564728300,782687; 172;0 ;NetPacket
1564728301,068596; 40;0 ;NetPacket
1564728303,129953; 1500;0 ;NetPacket
1564728303,130102; 1500;0 ;NetPacket
1564728303,130163; 1500;0 ;NetPacket
1564728303,130195; 1500;0 ;NetPacket
1564728303,13025; 1500;0 ;NetPacket
1564728303,130276; 1500;0 ;NetPacket
1564728303,130313; 1500;0 ;NetPacket
1564728303,130338; 1500;0 ;NetPacket
1564728303,130373; 1500;0 ;NetPacket
1564728303,130423; 1500;0 ;NetPacket
1564728303,130467; 1500;0 ;NetPacket
1564728303,130495; 1500;0 ;NetPacket
1564728303,130526; 1500;0 ;NetPacket
1564728303,130553; 1500;0 ;NetPacket
1564728303,130587; 1500;0 ;NetPacket
1564728303,130613; 1500;0 ;NetPacket
1564728303,130646; 1500;0 ;NetPacket
1564728303,13067; 1500;0 ;NetPacket
1564728303,130703; 1500;0 ;NetPacket
1564728303,130728; 1500;0 ;NetPacket
1564728303,130761; 1500;0 ;NetPacket
1564728303,130794; 1500;0 ;NetPacket
1564728303,13082; 1500;0 ;NetPacket
1564728303,130854; 1500;0 ;NetPacket
1564728303,130898; 1500;0 ;NetPacket
1564728303,130942; 1500;0 ;NetPacket
1564728303,130986; 1500;0 ;NetPacket
1564728303,13103; 1500;0 ;NetPacket
1564728303,131055; 1500;0 ;NetPacket
1564728303,131089; 1500;0 ;NetPacket
1564728303,131114; 1500;0 ;NetPacket
1564728303,131147; 1500;0 ;NetPacket
1564728303,131181; 1500;0 ;NetPacket
1564728303,131206; 1500;0 ;NetPacket
1564728303,131251; 1500;0 ;NetPacket
1564728303,131278; 1500;0 ;NetPacket
1564728303,13132; 1500;0 ;NetPacket
1564728303,131347; 1500;0 ;NetPacket
1564728303,131387; 1500;0 ;NetPacket
1564728303,131439; 1500;0 ;NetPacket
1564728303,131475; 1500;0 ;NetPacket
1564728303,131512; 1500;0 ;NetPacket
1564728303,131549; 1500;0 ;NetPacket
1564728303,131586; 1500;0 ;NetPacket
1564728303,131623; 1500;0 ;NetPacket
1564728303,131661; 1500;0 ;NetPacket
1564728303,131697; 1500;0 ;NetPacket
1564728303,131735; 1500;0 ;NetPacket
1564728303,131772; 1500;0 ;NetPacket
1564728303,131809; 1500;0 ;NetPacket
1564728303,13186; 1500;0 ;NetPacket
1564728303,131898; 1500;0 ;NetPacket
1564728303,131936; 1500;0 ;NetPacket
1564728303,131974; 1500;0 ;NetPacket
1564728303,132011; 1500;0 ;NetPacket
