timestamp; size;
126.96799993515; 2329111; video
277.867000102997; 205978; photo
775.914000034332; 35968; photo
805.65499997139; 45641; photo
1195.48000001907; 27656397; video
1231.81200003624; 2357782; video
1511.35599994659; 2898569; video
1763.53500008583; 10887013; video
2373.48300004005; 1128943; video
2441.17300009727; 7115845; video
2652.8220000267; 58688; photo
2806.0039999485; 52045; photo
2806.59400010109; 616426; video
2994.57899999619; 77969; photo
3024.64499998093; 48992; photo
3496.1099998951; 190940; photo
3496.1289999485; 182844; photo
3497.92199993134; 1727097; video
3523.61100006104; 2046128; video
4340.382999897; 82442; photo
