timestamp; size;
127.30999994278; 2329111; video
278.466000080109; 205978; photo
776.282999992371; 35968; photo
806.137000083923; 45641; photo
1196.24799990654; 27656397; video
1232.17100000381; 2357782; video
1511.68600010872; 2898569; video
1763.96399998665; 10887013; video
2374.3900001049; 1128943; video
2441.74499988556; 7115845; video
2653.29500007629; 58688; photo
2806.33599996567; 52045; photo
2807.13499999046; 616426; video
2995.15799999237; 77969; photo
3025.24799990654; 48992; photo
3496.46499991417; 190940; photo
3496.59699988365; 182844; photo
3498.24900007248; 1727097; video
3524.3029999733; 2046128; video
4341.08400011063; 82442; photo
