timestamp; size;
127.039000034332; 2329111; video
278.404000043869; 205978; photo
775.87700009346; 35968; photo
806.111000061035; 45641; photo
1196.00500011444; 27656397; video
1231.92600011826; 2357782; video
1511.53099989891; 2898569; video
1763.98099994659; 10887013; video
2373.59100008011; 1128943; video
2441.78500008583; 7115845; video
2652.91899991035; 58688; photo
2806.08800005913; 52045; photo
2807.07699990273; 616426; video
2994.81599998474; 77969; photo
3024.93700003624; 48992; photo
3496.59899997711; 182844; photo
3496.65899991989; 190940; photo
3498.08100008965; 1727097; video
3523.97099995613; 2046128; video
4340.52800011635; 82442; photo
