timestamp; size;
127.632999897003; 2329111; video
278.319999933243; 205978; photo
776.302999973297; 35968; photo
806.112999916077; 45641; photo
1195.93499994278; 27656397; video
1232.25900006294; 2357782; video
1511.66000008583; 2898569; video
1763.87700009346; 10887013; video
2374.33100008965; 1128943; video
2441.73699998856; 7115845; video
2653.26200008392; 58688; photo
2806.54600000381; 52045; photo
2807.07500004768; 616426; video
2995.13599991798; 77969; photo
3025.1819999218; 48992; photo
3496.31699991226; 190940; photo
3496.53800010681; 182844; photo
3498.2650001049; 1727097; video
3524.13899993896; 2046128; video
4340.93400001526; 82442; photo
