timestamp; size;
127.913000106812; 2329111; video
278.933000087738; 205978; photo
776.551000118256; 35968; photo
806.371999979019; 45641; photo
1197.77600002289; 27656397; video
1233.04200005531; 2357782; video
1512.26300001144; 2898569; video
1764.49900007248; 10887013; video
2374.56699991226; 1128943; video
2442.08200001717; 7115845; video
2653.58999991417; 58688; photo
2806.73900008202; 52045; photo
2807.60599994659; 616426; video
2995.57899999619; 77969; photo
3025.51399993896; 48992; photo
3496.39299988747; 190940; photo
3498.19400000572; 182844; photo
3499.47300004959; 1727097; video
3524.49300003052; 2046128; video
4341.24499988556; 82442; photo
