timestamp; size;
126.871000051498; 2329111; video
277.782999992371; 205978; photo
775.648999929428; 35968; photo
805.47000002861; 45641; photo
1195.6099998951; 27656397; video
1231.71700000763; 2357782; video
1511.38400006294; 2898569; video
1763.47699999809; 10887013; video
2373.17100000381; 1128943; video
2441.23900008202; 7115845; video
2652.63899993896; 58688; photo
2805.742000103; 52045; photo
2807.31100010872; 616426; video
2994.54299998283; 77969; photo
3024.52800011635; 48992; photo
3495.47900009155; 190940; photo
3498.13000011444; 1727097; video
3498.14299988747; 182844; photo
3523.53299999237; 2046128; video
4340.45000004768; 82442; photo
