timestamp; size;
127.190999984741; 2329111; video
277.967000007629; 205978; photo
775.780999898911; 35968; photo
805.592000007629; 45641; photo
1195.47399997711; 27656397; video
1231.68400001526; 2357782; video
1511.28699994087; 2898569; video
1763.4509999752; 10887013; video
2373.70000004768; 1128943; video
2441.18799996376; 7115845; video
2652.77800011635; 58688; photo
2806.15100002289; 52045; photo
2806.78399991989; 616426; video
2994.70499992371; 77969; photo
3024.77300000191; 48992; photo
3495.85100007057; 190940; photo
3496.09999990463; 182844; photo
3497.44499993324; 1727097; video
3523.70000004768; 2046128; video
4340.47399997711; 82442; photo
