timestamp; size;
132.922780036926; 2329111; video
283.672780036926; 205978; photo
781.507780075073; 35968; photo
811.328779935837; 45641; photo
1201.8347799778; 27656397; video
1237.49378013611; 2357782; video
1517.24577999115; 2898569; video
1769.46178007126; 10887013; video
2379.70677995682; 1128943; video
2446.87978005409; 7115845; video
2658.53078007698; 58688; photo
2811.90178012848; 52045; photo
2812.54978013039; 616426; video
3000.34177994728; 77969; photo
3030.44377994537; 48992; photo
3501.89178013802; 190940; photo
3501.90878009796; 182844; photo
3503.61878013611; 1727097; video
3529.67578005791; 2046128; video
4346.28277993202; 82442; photo
