timestamp; size;
1686781726; 20; text
1686781731; 71; text
1686781733; 103; text
1686781736; 158; text
1686781739; 59; text
1686781742; 4; text
1686781746; 24; text
1686781749; 155; text
1686781750; 67; text
1686781751; 116; text
1686781755; 22; text
1686781756; 69; text
1686781757; 8; text
1686781758; 64; text
1686781759; 8; text
1686781760; 38; text
1686781769; 8; text
1686781776; 15; text
1686781776; 118; text
1686781779; 128; text
1686781793; 78; text
1686781795; 51; text
1686781795; 122; text
1686781803; 115; text
1686781807; 292; text
1686781815; 303; text
1686781815; 355; text
1686781816; 27; text
1686781825; 25; text
1686781835; 83; text
1686781835; 100; text
1686781835; 41; text
1686781835; 17; text
1686781854.802; 2329111; video
1686782005.836; 205978; photo
1686782503.602; 35968; photo
1686782533.232; 45641; photo
1686782925.993; 27656397; video
1686782959.608; 2357782; video
1686783239.531; 2898569; video
1686783491.771; 10887013; video
1686783854; 543; text
1686784098; 813; text
1686784101.366; 1128943; video
1686784169.734; 7115845; video
1686784380.472; 58688; photo
1686784533.731; 52045; photo
1686784534.387; 616426; video
1686784722.399; 77969; photo
1686784752.39; 48992; photo
1686785224.15; 190940; photo
1686785225.717; 182844; photo
1686785226.131; 1727097; video
1686785251.886; 2046128; video
1686785658; 430; text
1686785659; 1184; text
1686786068.35; 82442; photo
1686786210.351; 236248; photo
1686786244.232; 3518060; video
1686786425.771; 61127; photo
1686786770.094; 999888; video
1686786859; 384; text
1686786862.078; 185263; photo
1686787171; 720; text
1686787488.305; 214875; photo
1686787503.898; 16034891; video
1686787861; 857; text
1686788042.665; 46073; photo
1686788106.205; 194292; photo
1686788121.049; 11387509; video
1686788665; 1033; text
1686788759.249; 1473625; video
1686788887.443; 4674621; video
1686789193; 178; text
1686789196.614; 1745108; video
1686789234.198; 9574733; video
1686789255.432; 228773; photo
1686789440.821; 52856; photo
1686789847.6; 4043809; video
1686790062.168; 239557; photo
1686790091.954; 111374; photo
1686790499.105; 1214819; video
1686790930; 1190; text
1686791291.317; 425980; photo
1686791291.428; 390324; photo
1686791291.584; 430761; photo
1686791291.697; 314434; photo
1686791291.764; 370475; photo
1686791291.789; 377142; photo
1686791291.862; 419733; photo
1686791291.9; 393167; photo
1686791291.99; 353555; photo
1686791306.802; 159031; photo
1686791521; 715; text
1686791671; 321; text
1686791674.094; 253767; photo
1686791703.555; 219452; photo
1686791737.95; 3790628; video
1686791791; 447; text
1686791916.183; 66726; photo
1686792085.59; 113775; photo
1686792511; 455; text
1686792697; 654; text
1686792729.746; 236572; photo
1686793067; 442; text
1686793192; 446; text
1686793408; 540; text
1686794062; 491; text
1686794092; 521; text
1686794688.408; 71753; photo
1686794721.914; 2314279; video
1686794935; 555; text
1686795370.81; 2737946; video
1686795911.192; 13934; video
1686796028; 598; text
1686796029.94; 47457; photo
1686796029.997; 136313; photo
