timestamp; size;
0.219445943832397; 2016; MsgEvent
4.54934906959534; 2160; MsgEvent
6.74865102767944; 2104; MsgEvent
10.1314709186554; 2332; MsgEvent
12.8036320209503; 2562; MsgEvent
16.1641509532928; 2112; MsgEvent
19.5371830463409; 2967; MsgEvent
22.661269903183; 2332; MsgEvent
23.8554749488831; 2312; MsgEvent
25.2845079898834; 2156; MsgEvent
28.5742540359497; 2168; MsgEvent
30.710079908371; 4372; MsgEvent
31.7370278835297; 2270; MsgEvent
33.0629820823669; 2096; MsgEvent
33.8876469135284; 1852; MsgEvent
42.8887619972229; 2064; MsgEvent
50.1302208900452; 4449; MsgEvent
53.3485009670258; 2236; MsgEvent
66.67156291008; 2408; MsgEvent
69.1211791038513; 4416; MsgEvent
76.7858800888062; 2084; MsgEvent
81.705372095108; 3051; MsgEvent
89.7698719501495; 7160; MsgEvent
98.4032669067383; 2212; MsgEvent
109.151547908783; 6661; MsgEvent
128.96213388443; 2532729; MsgEvent
278.062532901764; 2823; MsgEvent
775.828464031219; 2879; MsgEvent
805.854415893555; 2763; MsgEvent
1194.63090991974; 2596; MsgEvent
1223.92959809303; 1698; MsgEvent
1233.73061203957; 2531271; MsgEvent
1513.65316796303; 3100486; MsgEvent
1768.6951520443; 11458041; MsgEvent
2128.43984007835; 2584; MsgEvent
2265.16312408447; 5123; MsgEvent
2371.54891610146; 3923; MsgEvent
2374.6628139019; 1270784; MsgEvent
2447.32750606537; 7578738; MsgEvent
2652.9122838974; 2623; MsgEvent
2807.45016098022; 732296; MsgEvent
2994.83412194252; 3418; MsgEvent
3024.8389339447; 3214; MsgEvent
3496.12692904472; 5660; MsgEvent
3499.00685191154; 1893706; MsgEvent
3525.36441588402; 2181988; MsgEvent
3932.95019197464; 5963; MsgEvent
4340.49621009827; 2591; MsgEvent
