SizesDiff (bytes); TimeDiff (seconds);
0; -3,682999849319458;
0; -23,138999938964844;
0; -2,299999952316284;
0; -2,9230000972747803;
0; -8,757999897003174;
0; -2,502999782562256;
0; -6,413999795913696;
0; -1,1959998607635498;
0; -2,4759998321533203;
0; -2,135999917984009;
0; -4,061999797821045;
0; -1,7969999313354492;
0; -14,342999696731567;
0; -9,530999898910522;
0; -2,684999942779541;
0; -4,253999948501587;
0; -1,8389999866485596;
0; -9,032000064849854;
0; -4,73199987411499;
0; -2,322999954223633;
0; -3,8239998817443848;
0; -3,2829997539520264;
0; -3,860999822616577;
0; -0,5909998416900635;
