SizesDiff (bytes); TimeDiff (seconds);
0; -2,7730000019073486;
0; -2,7090001106262207;
0; -2,683000087738037;
0; -2,7639999389648438;
0; -2,7770001888275146;
0; -2,7890000343322754;
0; -2,8450000286102295;
0; -2,817000150680542;
0; -2,881000280380249;
0; -2,74399995803833;
0; -2,7880001068115234;
0; -2,705000162124634;
0; -2,7909998893737793;
0; -2,764000177383423;
0; -2,742000102996826;
0; -2,7060000896453857;
0; -2,7750000953674316;
0; -2,7070000171661377;
0; -2,746999979019165;
0; -2,7200000286102295;
0; -2,7090001106262207;
0; -2,707000255584717;
0; -2,7660000324249268;
0; -2,7200000286102295;
0; -2,736999988555908;
0; -2,7840001583099365;
0; -2,76200008392334;
0; -2,764000177383423;
0; -2,7740001678466797;
0; -2,746000051498413;
0; -2,8540000915527344;
0; -2,8380000591278076;
0; -2,802000045776367;
0; -2,760000228881836;
0; -2,741000175476074;
0; -2,702000141143799;
0; -2,73799991607666;
0; -2,7720000743865967;
0; -2,751000165939331;
0; -2,827000141143799;
0; -2,815000295639038;
0; -2,818000078201294;
0; -2,802999973297119;
0; -2,746000051498413;
0; -2,7839999198913574;
0; -2,7230000495910645;
0; -2,7130000591278076;
0; -2,927000045776367;
0; -2,8430001735687256;
0; -2,8650002479553223;
0; -2,829000234603882;
0; -2,7639999389648438;
0; -2,7309999465942383;
0; -2,7109999656677246;
0; -2,75;
0; -2,749000072479248;
0; -2,7840001583099365;
0; -2,7340002059936523;
0; -2,698000192642212;
0; -2,695000171661377;
0; -2,760000228881836;
0; -2,753999948501587;
0; -2,7250001430511475;
0; -2,7269999980926514;
0; -3,0339999198913574;
0; -2,93500018119812;
0; -2,7920000553131104;
0; -2,7680001258850098;
0; -2,7200002670288086;
0; -2,74399995803833;
0; -2,7220001220703125;
0; -2,7039999961853027;
0; -2,752000093460083;
0; -2,7990000247955322;
0; -2,7250001430511475;
0; -2,7829999923706055;
0; -2,8429999351501465;
0; -2,7090001106262207;
0; -2,811000108718872;
0; -2,8420000076293945;
0; -2,874000072479248;
0; -2,8540000915527344;
0; -2,699000120162964;
0; -2,7049999237060547;
0; -2,827000141143799;
0; -2,749000072479248;
0; -2,815000295639038;
0; -2,7760002613067627;
0; -2,745000123977661;
0; -2,741000175476074;
0; -2,7230000495910645;
0; -2,7269999980926514;
0; -2,74399995803833;
0; -2,7310001850128174;
0; -2,753000259399414;
0; -2,8390002250671387;
0; -2,8380000591278076;
0; -2,827000141143799;
0; -2,8530001640319824;
0; -2,739000082015991;
0; -2,7260000705718994;
0; -2,73799991607666;
0; -2,7370002269744873;
0; -2,7820000648498535;
0; -2,7380001544952393;
0; -2,8520002365112305;
0; -2,7260000705718994;
0; -2,7350001335144043;
0; -2,761000156402588;
0; -2,73799991607666;
0; -2,755000114440918;
0; -2,7840001583099365;
0; -2,7680001258850098;
0; -2,7960002422332764;
0; -2,76200008392334;
0; -2,756999969482422;
0; -2,871999979019165;
0; -2,758000135421753;
0; -2,802999973297119;
0; -2,824000120162964;
0; -3,454000234603882;
0; -2,7870001792907715;
0; -2,7200002670288086;
0; -2,7310001850128174;
0; -2,7130000591278076;
0; -2,7209999561309814;
0; -2,8259999752044678;
0; -2,8600001335144043;
0; -2,8540000915527344;
0; -2,820000171661377;
0; -2,7339999675750732;
0; -2,741000175476074;
0; -2,7710001468658447;
0; -2,7060000896453857;
0; -2,7240002155303955;
0; -2,811000108718872;
0; -2,8340001106262207;
0; -2,7780001163482666;
0; -2,7720000743865967;
0; -2,805000066757202;
0; -2,7780001163482666;
0; -2,7839999198913574;
0; -2,819000005722046;
0; -2,7940001487731934;
0; -2,763000011444092;
0; -2,751000165939331;
0; -2,7120001316070557;
